"gratificador libretazo","San Juan de Lurigancho",3,52,4710.39,3540,4282.16,3816.6,16349.15
"ocurrente audímetro","Los Olivos",3,49,2357.13,2175.72,2362.68,2036.44,8931.97
"falseamiento alemanda","Ate",5,82,1446.88,1934.97,1398.21,1804,6584.06
"molinete recrujir","San Juan de Lurigancho",13,225,2007.48,1665.18,1638.74,2038.15,7349.55
"reclinar sarpullido","Villa María del Triunfo",5,65,810.44,1039.16,920.39,1099.05,3869.04
"morenito chuparrosa","Ate",2,26,1864.94,2594.67,2150.39,2064.62,8674.62
"estruendosamente desherrumbramiento","San Juan de Lurigancho",3,63,1103,1210.67,1010.66,1094.7,4419.03
"incoativo almidonar","San Martin de Porres",4,72,1509.52,1431.75,1660.01,1477.99,6079.27
"cableado barretero","San Juan de Miraflores",6,84,1718.72,1210.85,1502.64,1265.81,5698.02
"niquelado remudamiento","San Martin de Porres",7,98,1039.15,990.7,1190.55,1397.03,4617.43
"acertero hidalguez","Ate",4,45,2722.96,2362.5,2517.24,2911.74,10514.44
"kilómetro escabioso","San Juan de Lurigancho",5,71,1194.81,1131,1126.98,1132.24,4585.03
"morigerar chuscada","San Juan de Lurigancho",2,30,2649.9,3041.95,2898.96,3268.21,11859.02
"gemiqueo desafiador","Santiago de Surco",8,116,4141.02,3318.52,4133.82,3906.3,15499.66
"granujería desestimatorio","Villa María del Triunfo",6,97,2058.86,1336.76,1271.97,2038.84,6706.43
"peristáltico trancazo","San Borja",2,40,2553.5,1675.04,1900.74,2717.52,8846.8
"arborícola empresario","Chorrillos",3,47,2276.57,1969.93,1644.85,1873.72,7765.07
"dentrambos hipocalcemia","Comas",3,44,2097.01,2401.35,1735.91,2075.47,8309.74
"historismo holocausto","Ate",13,228,3397.49,4092.14,3425.71,3586.14,14501.48
"predecible encadenar","Comas",5,77,1424.07,1251.89,1168.22,1573.19,5417.37
"bermudeño estornino","Villa María del Triunfo",5,67,3556.08,3636.69,3581.79,3447.75,14222.31
"irrenunciable aceitunillo","San Martin de Porres",5,72,1126.25,1216.82,1260.16,1110.42,4713.65
"pirometría fractura","Ate",4,62,3071.22,3823.15,3639.26,3899.02,14432.65
"tendinitis baladrear","La Molina",13,172,2480.79,2448.69,2218.69,2655.26,9803.43
"dietario descodificador","San Juan de Lurigancho",10,159,1049.92,1095.06,1315.63,1077.77,4538.38
"persecutor amoladera","San Juan de Miraflores",2,35,4438.69,3707.3,3269.4,3764.73,15180.12
"reflexión farfullero","San Juan de Lurigancho",12,171,2097.55,1767.42,2741.09,2093.9,8699.96
"parrilludo calvitar","Surquillo",9,141,1662.78,1750.94,1678.41,2052.41,7144.54
"recolector esperpento","Santa Anita",13,196,4596.54,4243.05,4067.35,4036.7,16943.64
"misceláneo deschingar","Lince",2,27,1306.21,1398.33,1523.57,938.32,5166.43
"floreciente remoldar","Comas",9,133,3263.08,3302.82,4474.05,3821.42,14861.37
"zangotear desinfección","Jesús María",5,73,1664.41,1930.73,1737.27,1410.63,6743.04
"excéntrico automática","Los Olivos",2,20,3428.91,3787.2,3921.49,4227.07,15364.67
"anfineuro griterío","San Juan de Lurigancho",4,62,854.99,1122.53,1106.65,802.11,3886.28
"churumbela desamartelar","Comas",5,69,1476.53,994.52,1590.45,1350.17,5411.67
"cordería circasiano","San Martin de Porres",12,192,1514.17,1375.46,1125.98,1057.35,5072.96
"coterráneo ataracea","Independencia",9,130,1903.48,2078.68,1613.36,2056.91,7652.43
